Date,Code,Name,Close,Marcap,Stocks,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Institution_Net_Est_Value,Foreign_Net_Est_Value,Basket,KOSPI_Marcap,KOSPI_Share_Pct
2026-06-01,024110,기업은행,20050.0,15988388673450.0,797425869,20050.0,-630181.0,758586.0,-12635129050.0,15209649300.0,금융,7204509360750407.0,0.22192196404870354
2026-06-01,032830,삼성생명,410000.0,82000000000000.0,200000000,410000.0,65234.0,21304.0,26745940000.0,8734640000.0,금융,7204509360750407.0,1.1381760491107067
2026-06-01,055550,신한지주,92600.0,43952993828600.0,474654361,92600.0,-71609.0,126570.0,-6630993400.0,11720382000.0,금융,7204509360750407.0,0.6100761568588197
2026-06-01,086790,하나금융지주,113900.0,31250486497200.0,274367748,113900.0,-1269.0,30017.0,-144539100.0,3418936300.0,금융,7204509360750407.0,0.43376286895329974
2026-06-01,105560,KB금융,152100.0,56710554205500.0,372850455,152100.0,-34521.0,130134.0,-5250644100.0,19793381400.0,금융,7204509360750407.0,0.7871535918109092
2026-06-01,316140,우리금융지주,29400.0,21581843808000.0,734076320,29400.0,-232244.0,341980.0,-6827973600.0,10054212000.0,금융,7204509360750407.0,0.2995602160721196
2026-06-01,000660,SK하이닉스,2363000.0,1684115688495000.0,712702365,2363000.0,859988.0,-729059.0,2032151644000.0,-1722766417000.0,반도체,7204509360750407.0,23.375855372885322
2026-06-01,005930,삼성전자,349000.0,2040351234192000.0,5846278608,349000.0,3832695.0,-180865.0,1337610555000.0,-63121885000.0,반도체,7204509360750407.0,28.320474469887856
2026-06-01,003230,삼양식품,1166000.0,8783495490000.0,7533015,1166000.0,-36720.0,22539.0,-42815520000.0,26280474000.0,생활소비재,7204509360750407.0,0.12191663651451108
2026-06-01,015760,한국전력,38650.0,24811911576050.0,641964077,38650.0,-218580.0,174596.0,-8448117000.0,6748135400.0,생활소비재,7204509360750407.0,0.34439418888430234
2026-06-01,033780,KT&G,185100.0,19215315405600.0,103810456,185100.0,-51962.0,75131.0,-9618166200.0,13906748100.0,생활소비재,7204509360750407.0,0.26671233866782806
2026-06-01,090430,아모레퍼시픽,111300.0,6510244076700.0,58492759,111300.0,-102960.0,-66225.0,-11459448000.0,-7370842500.0,생활소비재,7204509360750407.0,0.0903634619751803
2026-06-01,278470,에이피알,426500.0,15967373107500.0,37438155,426500.0,22349.0,68348.0,9531848500.0,29150422000.0,생활소비재,7204509360750407.0,0.22163026388013285
2026-06-02,024110,기업은행,20350.0,16227616434150.0,797425869,20350.0,-265315.0,522817.0,-5399160250.0,10639325950.0,금융,7215300729898488.0,0.22490561435515255
2026-06-02,032830,삼성생명,480000.0,96000000000000.0,200000000,480000.0,8608.0,38686.0,4131840000.0,18569280000.0,금융,7215300729898488.0,1.3305058734724509
2026-06-02,055550,신한지주,96400.0,45756680400400.0,474654361,96400.0,21061.0,113924.0,2030280400.0,10982273600.0,금융,7215300729898488.0,0.6341617919097289
2026-06-02,086790,하나금융지주,117000.0,32101026516000.0,274367748,117000.0,51856.0,6284.0,6067152000.0,735228000.0,금융,7215300729898488.0,0.44490212837534254
2026-06-02,105560,KB금융,156600.0,58388381253000.0,372850455,156600.0,41486.0,56539.0,6496707600.0,8854007400.0,금융,7215300729898488.0,0.8092300437465129
2026-06-02,316140,우리금융지주,29900.0,21948881968000.0,734076320,29900.0,-55367.0,545839.0,-1655473300.0,16320586100.0,금융,7215300729898488.0,0.30419912890184964
2026-06-02,000660,SK하이닉스,2360000.0,1681977581400000.0,712702365,2360000.0,90158.0,-416517.0,212772880000.0,-982980120000.0,반도체,7215300729898488.0,23.31126094897591
2026-06-02,005930,삼성전자,360500.0,2107583438184000.0,5846278608,360500.0,3088203.0,-11016912.0,1113297181500.0,-3971596776000.0,반도체,7215300729898488.0,29.209918159761187
2026-06-02,003230,삼양식품,1140000.0,8587637100000.0,7533015,1140000.0,-12849.0,14562.0,-14647860000.0,16600680000.0,생활소비재,7215300729898488.0,0.11901980834166587
2026-06-02,015760,한국전력,37750.0,24234143906750.0,641964077,37750.0,-88017.0,205045.0,-3322641750.0,7740448750.0,생활소비재,7215300729898488.0,0.33587157090111963
2026-06-02,033780,KT&G,184600.0,19163410177600.0,103810456,184600.0,-15181.0,18542.0,-2802412600.0,3422853200.0,생활소비재,7215300729898488.0,0.2655940603860265
2026-06-02,090430,아모레퍼시픽,109300.0,6393258558700.0,58492759,109300.0,-6475.0,-31996.0,-707717500.0,-3497162800.0,생활소비재,7215300729898488.0,0.08860695898935798
2026-06-02,278470,에이피알,401000.0,15012700155000.0,37438155,401000.0,5078.0,-13105.0,2036278000.0,-5255105000.0,생활소비재,7215300729898488.0,0.20806755971779453
2026-06-04,024110,기업은행,20500.0,16347230314500.0,797425869,20500.0,-214983.0,355512.0,-4407151500.0,7287996000.0,금융,7073751550116092.0,0.23109703809475346
2026-06-04,032830,삼성생명,438000.0,87600000000000.0,200000000,438000.0,59249.0,-131690.0,25951062000.0,-57680220000.0,금융,7073751550116092.0,1.2383810680849023
