Date,Code,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Name,Stocks,Marcap,Close,Latest_Name,Latest_Stocks,Basket,Foreign_Net_Est_Value,Institution_Net_Est_Value
2026-06-04,032830,438000.0,59249.0,-131690.0,삼성생명,200000000.0,87600000000000.0,438000.0,삼성생명,200000000,금융,-57680220000.0,25951062000.0
2026-06-04,055550,100100.0,330794.0,80950.0,신한지주,474654361.0,47512901536100.0,100100.0,신한지주,469450239,금융,8103095000.0,33112479400.0
2026-06-04,086790,120600.0,83304.0,47151.0,하나금융지주,274367748.0,33088750408800.0,120600.0,하나금융지주,274367748,금융,5686410600.0,10046462400.0
2026-06-04,105560,164200.0,16997.0,312802.0,KB금융,372850455.0,61222044711000.0,164200.0,KB금융,354687734,금융,51362088400.0,2790907400.0
2026-06-04,316140,30400.0,67134.0,-130941.0,우리금융지주,734076320.0,22315920128000.0,30400.0,우리금융지주,728089682,금융,-3980606400.0,2040873600.0
2026-06-04,000660,2298000.0,114049.0,-316443.0,SK하이닉스,712702365.0,1637790034770000.0,2298000.0,SK하이닉스,730492365,반도체,-727186014000.0,262084602000.0
2026-06-04,005930,351500.0,3253812.0,-12414744.0,삼성전자,5846278608.0,2054966930712000.0,351500.0,삼성전자,5846278608,반도체,-4363782516000.0,1143714918000.0
2026-06-04,003230,1114000.0,-8849.0,7207.0,삼양식품,7533015.0,8391778710000.0,1114000.0,삼양식품,7533015,생활소비재,8028598000.0,-9857786000.0
2026-06-04,015760,38700.0,-126829.0,150332.0,한국전력,641964077.0,24844009779900.0,38700.0,한국전력,641964077,생활소비재,5817848400.0,-4908282300.0
2026-06-04,033780,175800.0,64219.0,-104815.0,KT&G,103810456.0,18249878164800.0,175800.0,KT&G,103810456,생활소비재,-18426477000.0,11289700200.0
2026-06-04,090430,111200.0,1693.0,15442.0,아모레퍼시픽,58492759.0,6504394800800.0,111200.0,아모레퍼시픽,58492759,생활소비재,1717150400.0,188261600.0
2026-06-04,278470,405000.0,-23583.0,23521.0,에이피알,37438155.0,15162452775000.0,405000.0,에이피알,37438155,생활소비재,9526005000.0,-9551115000.0
2026-06-05,024110,20650.0,-155371.0,121818.0,기업은행,797425869.0,16466844194850.0,20650.0,기업은행,797425869,금융,2515541700.0,-3208411150.0
2026-06-05,032830,412500.0,23108.0,16374.0,삼성생명,200000000.0,82500000000000.0,412500.0,삼성생명,200000000,금융,6754275000.0,9532050000.0
2026-06-05,055550,107500.0,137742.0,319164.0,신한지주,474654361.0,51025343807500.0,107500.0,신한지주,469450239,금융,34310130000.0,14807265000.0
2026-06-05,086790,123600.0,40365.0,71180.0,하나금융지주,274367748.0,33911853652800.0,123600.0,하나금융지주,274367748,금융,8797848000.0,4989114000.0
2026-06-05,105560,171600.0,-991.0,129367.0,KB금융,372850455.0,63981138078000.0,171600.0,KB금융,354687734,금융,22199377200.0,-170055600.0
2026-06-05,316140,31200.0,123686.0,-284.0,우리금융지주,734076320.0,22903181184000.0,31200.0,우리금융지주,728089682,금융,-8860800.0,3859003200.0
2026-06-05,000660,2070000.0,-411774.0,-606860.0,SK하이닉스,712702365.0,1475293895550000.0,2070000.0,SK하이닉스,730492365,반도체,-1256200200000.0,-852372180000.0
2026-06-05,005930,329000.0,-1446498.0,-4240844.0,삼성전자,5846278608.0,1923425662032000.0,329000.0,삼성전자,5846278608,반도체,-1395237676000.0,-475897842000.0
2026-06-05,003230,1120000.0,13577.0,-12997.0,삼양식품,7533015.0,8436976800000.0,1120000.0,삼양식품,7533015,생활소비재,-14556640000.0,15206240000.0
2026-06-05,015760,38100.0,-98938.0,-124190.0,한국전력,641964077.0,24458831333700.0,38100.0,한국전력,641964077,생활소비재,-4731639000.0,-3769537800.0
2026-06-05,033780,179300.0,31659.0,-5061.0,KT&G,103810456.0,18613214760800.0,179300.0,KT&G,103810456,생활소비재,-907437300.0,5676458700.0
