Period,Basket,Code,Name,Start_Date,End_Date,Start_Marcap,End_Marcap,Marcap_Change,Marcap_Change_Pct,Foreign_Net_Est_Value_Sum,Institution_Net_Est_Value_Sum
8월(1~5일),생활소비재,278470,에이피알,2026-08-03,2026-08-05,12654096390000,13384140412500,730044022500,5.769230769230771,-102319790000,70445623000
전체(6/1~8/5),금융,024110,기업은행,2026-06-01,2026-08-05,15988388673450,16108002553800,119613880350,0.7481296758104827,35829773010,44469405140
전체(6/1~8/5),금융,032830,삼성생명,2026-06-01,2026-08-05,82000000000000,58800000000000,-23200000000000,-28.292682926829272,227956257500,-9133189000
전체(6/1~8/5),금융,055550,신한지주,2026-06-01,2026-08-05,43952993828600,48635044760400,4682050931800,10.65240504448508,26415440200,257860626700
전체(6/1~8/5),금융,086790,하나금융지주,2026-06-01,2026-08-05,31250486497200,35283692392800,4033205895600,12.906057945566296,-4271304300,209100771500
전체(6/1~8/5),금융,105560,KB금융,2026-06-01,2026-08-05,56710554205500,60545196193800,3834641988300,6.761778370926419,-307358894300,565210881500
전체(6/1~8/5),금융,316140,우리금융지주,2026-06-01,2026-08-05,21581843808000,24281790894700,2699947086700,12.510270719775928,75528768050,118145274800
전체(6/1~8/5),반도체,000660,SK하이닉스,2026-06-01,2026-08-05,1684115688495000,1218461264820000,-465654423675000,-27.649788364071902,-27957496540000,834456947000
전체(6/1~8/5),반도체,005930,삼성전자,2026-06-01,2026-08-05,2040351234192000,1438184537568000,-602166696624000,-29.51289398280802,-26789141394500,1820098012500
전체(6/1~8/5),생활소비재,003230,삼양식품,2026-06-01,2026-08-05,8783495490000,9114948150000,331452660000,3.7735849056603765,118493941000,36760306000
전체(6/1~8/5),생활소비재,015760,한국전력,2026-06-01,2026-08-05,24811911576050,22918117548900,-1893794027150,-7.632600258732214,57362175550,53947194950
전체(6/1~8/5),생활소비재,033780,KT&G,2026-06-01,2026-08-05,19215315405600,18270640256000,-944675149600,-4.916261480280926,33047105500,2656359600
전체(6/1~8/5),생활소비재,090430,아모레퍼시픽,2026-06-01,2026-08-05,6510244076700,7680099256700,1169855180000,17.969451931716087,51936157200,119549865400
전체(6/1~8/5),생활소비재,278470,에이피알,2026-06-01,2026-08-05,15967373107500,13384140412500,-2583232695000,-16.17819460726846,-171464534500,124647972500
