Date,Basket,Basket_Marcap,Foreign_Net_Est_Value,Institution_Net_Est_Value
2026-07-08,금융,253395616222650.0,-20212227300.0,36833634750.0
2026-07-08,반도체,3101912423460000.0,-653352595500.0,-322931725500.0
2026-07-08,생활소비재,73060340756750.0,-22024857150.0,18650227500.0
2026-07-09,금융,247695996676000.0,-108452775050.0,120038572400.0
2026-07-09,반도체,3183232822914000.0,-222870754000.0,1191899448000.0
2026-07-09,생활소비재,69704569018000.0,-28423403000.0,-31506047400.0
2026-07-10,금융,260436650203950.0,76478866650.0,90484784350.0
2026-07-10,반도체,3219880558980000.0,-1497672015000.0,1104558065000.0
2026-07-10,생활소비재,71070084546300.0,38696758600.0,-20317592400.0
2026-07-13,금융,258753438267950.0,-72241491900.0,100816014000.0
2026-07-13,반도체,2802813769161000.0,-1482592968000.0,-2268426654500.0
2026-07-13,생활소비재,69782297162450.0,8228837950.0,-4870519650.0
2026-07-14,금융,253737798871800.0,-78921881800.0,110718271100.0
2026-07-14,반도체,2900970898149000.0,974399108000.0,2735408325000.0
2026-07-14,생활소비재,68680099675150.0,11083772450.0,-15449614950.0
2026-07-15,금융,260109720118950.0,107723473000.0,-86722072500.0
2026-07-15,반도체,3117881194866000.0,1192500008500.0,438084345500.0
2026-07-15,생활소비재,69243611990000.0,51627063100.0,-69005779700.0
2026-07-16,금융,259341885859100.0,11684519500.0,7661285600.0
2026-07-16,반도체,2803598801370000.0,-1075720734000.0,-2323023465000.0
2026-07-16,생활소비재,70576865025850.0,47783973100.0,-8576722600.0
2026-07-20,금융,244240329240100.0,-42196537400.0,60676194650.0
2026-07-20,반도체,2683698952212000.0,860433360000.0,-1288121872000.0
2026-07-20,생활소비재,68379116813100.0,-6872272900.0,1291573500.0
2026-07-21,금융,249586977606450.0,-11647602250.0,19156280150.0
2026-07-21,반도체,2822707701612000.0,67581812000.0,1144613361000.0
2026-07-21,생활소비재,69214100236400.0,13611436000.0,17987109800.0
2026-07-22,금융,250636662826300.0,91040340250.0,-85591428600.0
2026-07-22,반도체,2827200905334000.0,1728434359500.0,-1481473227000.0
2026-07-22,생활소비재,68671566314500.0,36831789900.0,-61629035100.0
2026-07-23,금융,252789347006250.0,119112165900.0,-112227588650.0
2026-07-23,반도체,2946171062595000.0,1674390843000.0,-316829314000.0
2026-07-23,생활소비재,70800742614800.0,91493326200.0,-56134064400.0
2026-07-24,금융,249795760497450.0,75415138250.0,-57890962200.0
2026-07-24,반도체,2712289972731000.0,-2573504881500.0,-1694116860000.0
2026-07-24,생활소비재,70507070288400.0,21201895000.0,2070095400.0
2026-07-27,금융,250315049459550.0,-27142339450.0,75550289750.0
2026-07-27,반도체,2779222261272000.0,-1961624744000.0,543603142000.0
2026-07-27,생활소비재,71880848837000.0,-1141962000.0,41981450400.0
2026-07-28,금융,236618606816800.0,-53843547250.0,18666220350.0
2026-07-28,반도체,2390869959510000.0,-4272849310000.0,462612910000.0
2026-07-28,생활소비재,68810572252950.0,-3654857600.0,8033531400.0
2026-07-29,금융,229021183620800.0,-75441359300.0,72848167900.0
2026-07-29,반도체,2242368893133000.0,-2031868333500.0,2353835925000.0
2026-07-29,생활소비재,68692746211400.0,10158866300.0,77048887100.0
2026-07-30,금융,234321999283650.0,-56826369650.0,101602191250.0
2026-07-30,반도체,2175890578386000.0,723559116000.0,-155210718000.0
2026-07-30,생활소비재,69499481645650.0,13618918250.0,42331743950.0
2026-07-31,금융,244674895355550.0,85581232700.0,-79027556300.0
2026-07-31,반도체,2789634017670000.0,5983748093500.0,1426177131500.0
2026-07-31,생활소비재,69315632339200.0,28907631500.0,-37598872800.0
2026-08-03,금융,241079042421450.0,18721958450.0,-15809397800.0
2026-08-03,반도체,2544865262571000.0,-2668437534500.0,-1658383787000.0
2026-08-03,생활소비재,69293833503300.0,-20817561200.0,7652449600.0
2026-08-04,금융,238905567470250.0,9859139000.0,-15770206950.0
2026-08-04,반도체,2555093325525000.0,-455930024000.0,-912006855000.0
2026-08-04,생활소비재,71151110299750.0,2054316300.0,37757050000.0
2026-08-05,금융,243653726795500.0,37919244800.0,-12418910900.0
2026-08-05,반도체,2656645802388000.0,1215643014000.0,-558499356000.0
2026-08-05,생활소비재,71367945624100.0,-20089888900.0,-7148691000.0
