Date,kospi_total_marcap,semiconductor_marcap,semiconductor_share_pct,financial_marcap,financial_share_pct,consumer_marcap,consumer_share_pct,ex_semiconductor_share_pct
2026-07-01,6785431956394503.0,3663172676616000.0,53.985843497610695,248828398120550.0,3.6670973892245335,72157484585200.0,1.0634177020550581,46.014156502389305
2026-07-02,6251410554182236.0,3230715754143000.0,51.67978852359375,252692057060400.0,4.042160643110335,73215076545150.0,1.171176903365731,48.32021147640625
2026-07-03,6617011062826598.0,3537726464301000.0,53.464115908396025,261697314368700.0,3.9549172864297795,72510933134150.0,1.0958260828896877,46.535884091603975
2026-07-06,6591595226499214.0,3528978238539000.0,53.537544665242365,264342667974700.0,4.010298856216206,72593191400250.0,1.1012992895621738,46.462455334757635
2026-07-07,6266412200628105.0,3299156373333000.0,52.64825019015369,262792918124850.0,4.193674302155056,75516187265300.0,1.20509447587458,47.35174980984631
2026-07-08,5931056230750011.0,3101912423460000.0,52.299494437059955,253395616222650.0,4.2723522820252695,73060340756750.0,1.231826809834699,47.700505562940045
2026-07-09,5964859973661527.0,3183232822914000.0,53.36643000791138,247695996676000.0,4.152586947048682,69704569018000.0,1.168586845722916,46.63356999208862
2026-07-10,6118604296140554.0,3219880558980000.0,52.62442876083703,260436650203950.0,4.256471534990851,71070084546300.0,1.1615407878415842,47.37557123916297
2026-07-13,5572485079774514.0,2802813769161000.0,50.29737592898882,258753438267950.0,4.643411952902353,69782297162450.0,1.252265302884825,49.70262407101118
2026-07-14,5616749703745019.0,2900970898149000.0,51.64856992318442,253737798871800.0,4.517520136291956,68680099675150.0,1.2227730146023228,48.35143007681558
2026-07-15,5961100249061447.0,3117881194866000.0,52.3037872976033,260109720118950.0,4.363451531617897,69243611990000.0,1.1615911341350476,47.6962127023967
2026-07-16,5576917784678867.0,2803598801370000.0,50.27147448850976,259341885859100.0,4.650272711058687,70576865025850.0,1.2655174013814872,49.72852551149024
2026-07-20,5331388995510400.0,2683698952212000.0,50.337706636524956,244240329240100.0,4.5811763021939775,68379116813100.0,1.2825760204457513,49.662293363475044
2026-07-21,5525145833613097.0,2822707701612000.0,51.08838366653803,249586977606450.0,4.517292124454856,69214100236400.0,1.2527108300983676,48.91161633346197
2026-07-22,5568155813322949.0,2827200905334000.0,50.7744574706287,250636662826300.0,4.501250885016555,68671566314500.0,1.23329103237717,49.2255425293713
2026-07-23,5814274124976124.0,2946171062595000.0,50.67134777734784,252789347006250.0,4.347736993004059,70800742614800.0,1.2177056171236291,49.32865222265216
2026-07-24,5479519588763190.0,2712289972731000.0,49.49868193359638,249795760497450.0,4.558716443129509,70507070288400.0,1.2867381737805688,50.50131806640362
2026-07-27,5533628393014013.0,2779222261272000.0,50.22423017744846,250315049459550.0,4.5235247414799815,71880848837000.0,1.298982218027989,49.77576982255154
2026-07-28,4933296613154775.0,2390869959510000.0,48.46394099099328,236618606816800.0,4.79635881179027,68810572252950.0,1.3948192790489156,51.53605900900672
2026-07-29,4669101404020380.0,2242368893133000.0,48.025705571572814,229021183620800.0,4.905037689342083,68692746211400.0,1.4712198401227992,51.974294428427186
2026-07-30,4611484788421978.0,2175890578386000.0,47.18416471521261,234321999283650.0,5.081270133904823,69499481645650.0,1.5070955415518632,52.81583528478739
2026-07-31,5445193657915115.0,2789634017670000.0,51.2311258868635,244674895355550.0,4.49341034914142,69315632339200.0,1.272969093366276,48.7688741131365
